Feature ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
866415529807481a10e17cf3d1ab11b6	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_flava	-	-	-	-	-	-	-	Unassigned	-
420207517208c67416fdd6bf46667288	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes	-	-	-	-	-	-	-	Unassigned	-
1f53b95a48325e4501ef7e8b46fee3ea	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
01941db2120fdcd08c6e1825568be3ae	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizales_fam_Incertae_sedis;g__Pezizales_gen_Incertae_sedis;s__Pezizales_sp	-	-	-	-	-	-	-	Unassigned	-
2aa7665e97e8341057a45435b69040e5	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
08296547011bb03f7a33c0424d945b59	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
ad4580b9a1c2268fd4c5d032a9d60030	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_paraflava	-	-	-	-	-	-	-	Unassigned	-
62202acab489b87393058831dc6d9e9d	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
c350dafab5787227b7666152ef4f710a	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
b3b15be932a2cfa56b95192c1d4dc39c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Setoseptoria;s__Setoseptoria_arundelensis	-	-	-	-	-	-	-	Unassigned	-
2ef332d2380e1ac7a1620f8b25a128b7	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
b13103d22eed27c9313270f63e2355af	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	-	-	-	-	-	-	-	Unassigned	-
ac6a74d9a6786c65a1db5be3b0cc6b86	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_rajasthanensis	-	-	-	-	-	-	-	Unassigned	-
1f7dafc7e6894fa4fb2d03db0e0cafa2	k__Fungi;p__Ascomycota;c__Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
3307785883047048f0b8fbfe805d7bce	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
b8ba74e7076abd808ad432bbd8272e09	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales;f__Phomatosporaceae;g__Phomatospora	-	-	-	-	-	-	-	Unassigned	-
2e51811e0fd6791d1b2b2a19669e0ec9	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Paramyrothecium	-	-	-	-	-	-	-	Unassigned	-
082c521131f0d2d375475542d5e44d0e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae	-	-	-	-	-	-	-	Unassigned	-
0a1b4417167c1a8845b0bc4d846a800c	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
520febfaaf9877f50f078ed9a9c63261	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Robillarda;s__Robillarda_africana	-	-	-	-	-	-	-	Unassigned	-
5452c3649d8388a049b13cef4db0de34	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis	-	-	-	-	-	-	-	Unassigned	-
210ef2c5528fab15cce8c4beed125ffd	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales;f__Phomatosporaceae;g__Phomatospora;s__Phomatospora_sp	-	-	-	-	-	-	-	Unassigned	-
4407e5a1def338354077291c9263c658	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
d57b006e8e6a4448b08a7ed5aec66ff4	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_restrictus	-	-	-	-	-	-	-	Unassigned	-
6e5d7016440a4597addec654b4f55faa	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_vermiculata	-	-	-	-	-	-	-	Unassigned	-
509e29da335b44ae28bec7054a1c6308	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
a06718f5edad36d0f4d55de6f328a172	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae	-	-	-	-	-	-	-	Unassigned	-
ca8de3cfb487e8d427dfa76138676dcf	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_phragmitis	-	-	-	-	-	-	-	Unassigned	-
721c64712921ec3bef4a27c02d24312b	k__Fungi;p__Ascomycota;c__Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
390f29e8eddf86eda5037b5fbb67c280	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales;f__Phomatosporaceae;g__Phomatospora	-	-	-	-	-	-	-	Unassigned	-
a38c2295f0a13c79e4fb9e0562fd4633	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
a024045610e06b0c9fec3ddf74eba857	k__Fungi;p__Ascomycota;c__Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
425accdae5fcf65257c54b3882d19676	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__Erythrobasidium_yunnanense	-	-	-	-	-	-	-	Unassigned	-
7392c6e20ef4fa20ffe68b0ff2a3e2fc	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
50b25b7415d32f9716e51d4b0679fbcd	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Shiraia;s__Shiraia_bambusicola	-	-	-	-	-	-	-	Unassigned	-
f7c4f7358587d5eacab2eab8f1defbe6	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Doassansiales;f__Doassansiaceae	-	-	-	-	-	-	-	Unassigned	-
078575b3fece3fbc9ed32c0c6817348b	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	-	-	-	-	-	-	-	Unassigned	-
28110a2e44778ada9561440e6bcbeaae	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_halophilicus	-	-	-	-	-	-	-	Unassigned	-
10e9c9d2895c122214919fbfcbc4fc59	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
33558f0678971173442f08e46b9b31cd	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
b578163f5b67048cf8e67824bd393e12	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_diffluens	-	-	-	-	-	-	-	Unassigned	-
d0fed45fedc0e7453db67c3cdb1dd224	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
a9b229b6dbb624da55891b1e5881d314	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	-	-	-	-	-	-	-	Unassigned	-
2d9dbc672874832fa4d7daf6c95b34da	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma	-	-	-	-	-	-	-	Unassigned	-
0e1d5bcf0c7e656f75a32da2344e597f	k__Fungi;p__Ascomycota;c__Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
97de323fa41ad6998c9732777a580209	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Striaticonidium;s__Striaticonidium_brachysporum	-	-	-	-	-	-	-	Unassigned	-
