sample_id,patho,sapro,symbio,patho_s,sapro_s,symbio_s,centroid_x,centroid_y,area
GD2P1-3,60.5,36.5,21,0.44637223974763407,0.14150047483380818,0.34827586206896544,0.01450348003883988,-0.0013498283787959492,0.11600573110956869
GD2P1-4,60.166666666666664,37.666666666666664,27.166666666666668,0.4432176656151419,0.14814814814814814,0.4758620689655172,0.0021541241601649346,-0.011125060282265776,0.15028590725672286
GD2P1-5,68.83333333333333,37.833333333333336,26.333333333333332,0.5252365930599369,0.14909781576448244,0.4586206896551723,0.012484790347380544,-0.0070675371847219335,0.16782504534123077
GD2P2-1,78.5,36,29.5,0.6167192429022083,0.13865147198480532,0.5241379310344827,0.01573363206622635,-0.009688899304442364,0.20846421149608163
GD2P2-2,62.333333333333336,39.833333333333336,22.833333333333332,0.46372239747634064,0.16049382716049385,0.3862068965517241,0.012252148375742015,-0.0018719188354569744,0.1366160241200215
GD2P2-3,58.5,36.5,26,0.4274447949526814,0.14150047483380818,0.4517241379310344,0.002745462542306794,-0.010247862578561136,0.13747718236146222
GD2P2-4,56.833333333333336,25.333333333333332,21.833333333333332,0.4116719242902208,0.0778727445394112,0.3655172413793103,0.00890838634852061,-0.007786227640945035,0.09136353212972859
GD2P2-5,59,34,21,0.43217665615141954,0.12725546058879392,0.34827586206896544,0.01298364590943011,-0.0032318229491054406,0.10818109711445459
GD2P3-1,51.166666666666664,26.666666666666668,21.166666666666668,0.3580441640378549,0.08547008547008549,0.35172413793103446,0.005497894647607623,-0.008336359036385606,0.08079875524809216
GD2P3-2,62.333333333333336,41.833333333333336,23.833333333333332,0.46372239747634064,0.17188983855650525,0.40689655172413786,0.009725757600449919,-0.0023339716992431423,0.1465044762114562
GD2P3-3,43.666666666666664,24.166666666666668,14.166666666666666,0.28706624605678227,0.07122507122507124,0.20689655172413787,0.010898061481313462,-0.0016573956758449276,0.04095241525251636
