origin	site	pop	sample_id	raw_sample_id
AR	S11	S11P2	S11P2-2	S11P2.2
AR	S11	S11P2	S11P2-3	S11P2.3
AR	S11	S11P2	S11P2-4	S11P2.4
AR	S11	S11P2	S11P2-5	S11P2.5
AR	S11	S11P2	S11P2-6	S11P2.6
AR	S11	S11P3	S11P3-1	S11P3.1
AR	S11	S11P3	S11P3-2	S11P3.2
AR	S11	S11P3	S11P3-3	S11P3.3
AR	S11	S11P3	S11P3-5	S11P3.5
AR	S11	S11P3	S11P3-6	S11P3.6
AR	S12	S12P1	S12P1-1	S12P1.1
AR	S12	S12P1	S12P1-2	S12P1.2
AR	S12	S12P1	S12P1-3	S12P1.3
AR	S12	S12P1	S12P1-4	S12P1.4
AR	S12	S12P1	S12P1-5	S12P1.5
AR	S12	S12P2	S12P2-1	S12P2.1
AR	S12	S12P2	S12P2-2	S12P2.2
AR	S12	S12P2	S12P2-3	S12P2.3
AR	S12	S12P2	S12P2-4	S12P2.4
AR	S12	S12P2	S12P2-5	S12P2.5
AR	S12	S12P3	S12P3-1	S12P3.1
AR	S12	S12P3	S12P3-2	S12P3.2
AR	S12	S12P3	S12P3-3	S12P3.3
AR	S12	S12P3	S12P3-4	S12P3.4
AR	S12	S12P3	S12P3-5	S12P3.5
AR	S13	S13P1	S13P1-1	S13P1.1
AR	S13	S13P1	S13P1-2	S13P1.2
AR	S13	S13P1	S13P1-3	S13P1.3
AR	S13	S13P1	S13P1-4	S13P1.4
AR	S13	S13P1	S13P1-5	S13P1.5
AR	S13	S13P2	S13P2-1	S13P2.1
AR	S13	S13P2	S13P2-2	S13P2.2
AR	S13	S13P2	S13P2-3	S13P2.3
AR	S13	S13P2	S13P2-4	S13P2.4
AR	S13	S13P2	S13P2-5	S13P2.5
AR	S13	S13P3	S13P3-1	S13P3.1
AR	S13	S13P3	S13P3-2	S13P3.2
AR	S13	S13P3	S13P3-3	S13P3.3
AR	S13	S13P3	S13P3-4	S13P3.4
AR	S13	S13P3	S13P3-5	S13P3.5
AR	S14	S14P1	S14P1-1	S14P1.1
AR	S14	S14P1	S14P1-2	S14P1.2
AR	S14	S14P1	S14P1-3	S14P1.3
AR	S14	S14P1	S14P1-4	S14P1.4
AR	S14	S14P1	S14P1-5	S14P1.5
AR	S14	S14P2	S14P2-1	S14P2.1
AR	S14	S14P2	S14P2-2	S14P2.2
AR	S14	S14P2	S14P2-3	S14P2.3
AR	S14	S14P2	S14P2-4	S14P2.4
AR	S14	S14P2	S14P2-5	S14P2.5
AR	S14	S14P3	S14P3-1	S14P3.1
AR	S14	S14P3	S14P3-2	S14P3.2
AR	S14	S14P3	S14P3-3	S14P3.3
AR	S14	S14P3	S14P3-4	S14P3.4
AR	S14	S14P3	S14P3-5	S14P3.5
AR	S1	S1P1	S1P1-1	S1P1.1
AR	S1	S1P1	S1P1-2	S1P1.2
AR	S1	S1P1	S1P1-3	S1P1.3
AR	S1	S1P1	S1P1-4	S1P1.4
AR	S1	S1P1	S1P1-5	S1P1.5
AR	S1	S1P2	S1P2-1	S1P2.1
AR	S1	S1P2	S1P2-2	S1P2.2
AR	S1	S1P2	S1P2-3	S1P2.3
AR	S1	S1P2	S1P2-4	S1P2.4
AR	S1	S1P2	S1P2-5	S1P2.5
AR	S1	S1P3	S1P3-1	S1P3.1
AR	S1	S1P3	S1P3-2	S1P3.2
AR	S1	S1P3	S1P3-3	S1P3.3
AR	S1	S1P3	S1P3-4	S1P3.4
AR	S1	S1P3	S1P3-5	S1P3.5
AR	S2	S2P1	S2P1-1	S2P1.1
AR	S2	S2P1	S2P1-2	S2P1.2
AR	S2	S2P1	S2P1-3	S2P1.3
AR	S2	S2P1	S2P1-4	S2P1.4
AR	S2	S2P1	S2P1-5	S2P1.5
AR	S2	S2P2	S2P2-1	S2P2.1
AR	S2	S2P2	S2P2-2	S2P2.2
AR	S2	S2P2	S2P2-3	S2P2.3
AR	S2	S2P2	S2P2-4	S2P2.4
AR	S2	S2P2	S2P2-5	S2P2.5
AR	S2	S2P3	S2P3-1	S2P3.1
AR	S2	S2P3	S2P3-2	S2P3.2
AR	S2	S2P3	S2P3-3	S2P3.3
AR	S2	S2P3	S2P3-4	S2P3.4
AR	S2	S2P3	S2P3-5	S2P3.5
AR	S3	S3P1	S3P1-1	S3P1.1
AR	S3	S3P1	S3P1-2	S3P1.2
AR	S3	S3P1	S3P1-3	S3P1.3
AR	S3	S3P1	S3P1-4	S3P1.4
AR	S3	S3P1	S3P1-5	S3P1.5
AR	S3	S3P2	S3P2-1	S3P2.1
AR	S3	S3P2	S3P2-2	S3P2.2
AR	S3	S3P2	S3P2-3	S3P2.3
AR	S3	S3P2	S3P2-4	S3P2.4
AR	S3	S3P2	S3P2-5	S3P2.5
AR	S3	S3P3	S3P3-1	S3P3.1
AR	S3	S3P3	S3P3-2	S3P3.2
AR	S3	S3P3	S3P3-3	S3P3.3
AR	S3	S3P3	S3P3-4	S3P3.4
AR	S3	S3P3	S3P3-5	S3P3.5
